Area,Type,ConstructionY,PriceK,Price,Psqm,Surface,Floor,Rooms,Condition,Detailed Condition,Condition Score,Perks Score,Ad Views,Agent
City Center,Maisonette,2012,240,240000,3529.41,68,"3, 4",1,2,,2,2.5,508,1
North Suburbs,Flat,1980,150,150000,2500.00,60,2,1,0,1,1,4.2,59,1
North Suburbs,Flat,1980,150,150000,2500.00,60,2,1,0,1,1,4.2,28,1
North Suburbs,Flat,1980,150,150000,2500.00,60,2,1,0,1,1,4.2,4,1
North Suburbs,Flat,1980,130,130000,1666.67,78,1,1,0,1,1,1.2,171,1
City Center,Flat,1982,85,85000,1287.88,66,5,1,,,0,0.5,258,1
City Center,Flat,1982,85,85000,1287.88,66,5,1,0,1,1,0.5,220,1
City Center,House,,260,260000,3250.00,80,,1,0,,0,0,51,1
City Center,Flat,1970,130,130000,2280.70,57,1,1,0,1,1,0,19,1
North Suburbs,Flat,2000,67,67000,2233.33,30,1,1,0,1,1,1,272,1
City Center,Flat,1977,35,35000,1166.67,30,1,1,,,0,0,305,1
North Suburbs,Flat,2003,130,130000,3023.26,43,0,1,0,1,1,1,23,1
North Suburbs,Flat,2003,130,130000,3023.26,43,0,1,0,1,1,1,4,1
City Center,Flat,1980,46,46000,920.00,50,3,1,0,0.5,0.5,0,286,1
North Suburbs,Flat,1981,120,120000,1904.76,63,1,1,0,1,1,3.5,29,1
City Center,Flat,1982,140,140000,1842.11,76,2,1,0,1,1,0,78,0
City Center,Flat,1983,55,55000,1100.00,50,6,1,0,1,1,3,834,1
City Center,Flat,1985,250,250000,2380.95,105,5,1,,,0,0,133,1
North Suburbs,Flat,1985,70,70000,1400.00,50,0,1,0,1,1,0,35,1
City Center,Flat,2005,140,140000,1917.81,73,3,1,0,1,1,1,156,1
North Suburbs,Flat,2006,180,180000,2903.23,62,0,1,2,,2,4,6,1
North Suburbs,Flat,2006,140,140000,2153.85,65,0,1,0,1,1,1.2,34,1
North Suburbs,Flat,2006,140,140000,2153.85,65,0,1,0,1,1,1.2,11,1
North Suburbs,Flat,2006,140,140000,2153.85,65,0,1,0,1,1,1.2,2,1
City Center,Flat,1986,40,40000,727.27,55,1,1,,,0,0,313,1
City Center,Flat,2008,200,200000,4000.00,50,3,1,2,,2,4,473,1
City Center,Flat,2008,270,270000,3600.00,75,2,1,0,,0,4.2,395,1
North Suburbs,Flat,2008,100,100000,2500.00,40,0,1,2,,2,1,956,1
City Center,Flat,2009,290,290000,3452.38,84,2,1,,,0,4.2,92,1
North Suburbs,Flat,2003,160,160000,2857.14,56,1,1,0,1,1,0,68,1
North Suburbs,Flat,2003,160,160000,2857.14,56,1,1,0,1,1,0,16,1
North Suburbs,Flat,2009,110,110000,2200.00,50,0,1,2,,2,3,143,1
North Suburbs,Flat,2003,145,145000,2543.86,57,0,1,0,1,1,3.5,38,1
North Suburbs,Flat,2003,200,200000,2500.00,80,0,1,0,1,1,3.5,77,1
North Suburbs,Flat,2003,180,180000,2250.00,80,0,1,0,1,1,0,73,1
North Suburbs,Flat,2003,180,180000,2250.00,80,0,1,0,1,1,0,15,1
North Suburbs,Flat,2003,100,100000,2000.00,50,0,1,,,0,0.7,59,1
North Suburbs,Flat,2003,90,90000,1800.00,50,0,1,0,1,1,0.7,62,1
North Suburbs,Flat,2003,90,90000,1800.00,50,1,1,0,1,1,3.5,453,1
North Suburbs,Flat,2003,90,90000,1800.00,50,0,1,,,0,0.7,125,1
City Center,Flat,2005,95,95000,2317.07,41,0,1,2,,2,0,2347,0
North Suburbs,Flat,2010,420,420000,3925.23,107,3,1,2,,2,3.2,79,1
North Suburbs,Flat,2007,200,200000,3333.33,60,0,1,2,,2,2.5,19,1
North Suburbs,Flat,2007,200,200000,3333.33,60,0,1,2,,2,2.5,12,1
City Center,Flat,2008,190,190000,3800.00,50,3,1,0,,0,3.5,48,1
City Center,Flat,2010,280,280000,3500.00,80,3,1,0,1,1,4.2,8,1
City Center,Flat,2010,270,270000,3375.00,80,3,1,2,,2,3.2,422,1
City Center,Flat,2009,200,200000,4255.32,47,4,1,2,,2,1,13,1
City Center,Flat,2009,258,258000,4031.25,64,3,1,2,,2,3,14,1
North Suburbs,Flat,2010,230,230000,3239.44,71,1,1,2,,2,4.2,39,1
City Center,Flat,2009,299,299000,3737.50,80,3,1,2,,2,3.7,1117,1
North Suburbs,Flat,2010,130,130000,2888.89,45,0,1,2,,2,2,95,1
City Center,Flat,2010,220,220000,2750.00,80,2,1,2,,2,3.2,499,1
City Center,Flat,2009,170,170000,2428.57,70,1,1,2,,2,3,11,1
City Center,Flat,2010,330,330000,2640.00,125,3,1,0,1,1,4,1441,1
City Center,Flat,2009,200,200000,1869.16,107,2,1,0,1,1,0.5,26,1
City Center,Flat,2010,100,100000,2500.00,40,2,1,0,1,1,1,450,1
City Center,Flat,2010,100,100000,2500.00,40,1,1,2,,2,1,264,1
City Center,Flat,2009,170,170000,1827.96,93,2,1,0,1,1,0.5,33,1
City Center,Flat,2009,130,130000,1780.82,73,3,1,0,1,1,0,245,1
City Center,Flat,2010,180,180000,2400.00,75,3,1,0,1,1,2,935,1
City Center,Flat,2010,120,120000,2307.69,52,1,1,0,1,1,1,292,1
City Center,Flat,2010,200,200000,1904.76,105,3,1,0,,0,0.5,311,1
City Center,Flat,2010,170,170000,1619.05,105,2,1,0,,0,0.5,495,1
City Center,Flat,2010,150,150000,1428.57,105,1,1,0,,0,0.5,327,1
City Center,Flat,2010,250,250000,4166.67,60,2,1,0,,0,0,86,1
City Center,Flat,2010,380,380000,3800.00,100,3,1,0,1,1,3.2,12,1
City Center,Flat,2010,299,299000,3737.50,80,3,1,2,,2,3.2,47,1
City Center,Flat,2010,220,220000,3666.67,60,1,1,0,,0,0,71,1
City Center,Flat,2010,280,280000,3500.00,80,3,1,0,,0,3.7,59,1
City Center,Flat,2010,280,280000,3500.00,80,3,1,2,,2,3.7,9,1
North Suburbs,Flat,2011,220,220000,2933.33,75,1,1,0,1,1,4,136,1
North Suburbs,Flat,2011,220,220000,2933.33,75,1,1,0,1,1,4,21,1
North Suburbs,Flat,2011,220,220000,2933.33,75,1,1,0,1,1,4,1,1
City Center,Maisonette,2011,330,330000,2894.74,114,3,1,0,0.5,0.5,4.2,928,1
City Center,Flat,2011,140,140000,2692.31,52,2,1,2,,2,1,441,1
City Center,Flat,2011,130,130000,2600.00,50,2,1,2,,2,1,723,1
City Center,Flat,2011,180,180000,2400.00,75,3,1,2,,2,3,949,1
City Center,Flat,2010,200,200000,3333.33,60,1,1,2,,2,0,36,1
City Center,Flat,2010,250,250000,2604.17,96,1,1,0,1,1,3.2,18,1
City Center,Flat,2010,240,240000,2000.00,120,2,1,0,1,1,3.2,18,1
City Center,Flat,2012,230,230000,3538.46,65,1,1,,,0,2,401,1
City Center,Flat,2011,199,199000,2726.03,73,3,1,0,1,1,1.7,647,1
City Center,Maisonette,2012,220,220000,3235.29,68,"2, 1",1,2,,2,4,909,1
North Suburbs,Flat,2012,180,180000,3272.73,55,2,1,2,,2,3.7,78,1
North Suburbs,Flat,2012,180,180000,3272.73,55,2,1,2,,2,3.7,32,1
North Suburbs,Flat,2012,130,130000,2708.33,48,0,1,2,,2,4,2,1
North Suburbs,Flat,2012,170,170000,2428.57,70,0,1,2,,2,4,2,1
City Center,Flat,2012,170,170000,2428.57,70,1,1,,,0,3.5,252,1
City Center,Flat,2012,230,230000,2875.00,80,3,1,0,1,1,2.2,17,1
City Center,Maisonette,2013,250,250000,3731.34,67,3,1,0.5,,0.5,4,812,1
North Suburbs,Flat,2013,180,180000,3272.73,55,2,1,2,,2,4.2,91,1
City Center,Maisonette,2013,185,185000,2761.19,67,1,1,0.5,,0.5,4,1037,1
City Center,Flat,2012,170,170000,2428.57,70,1,1,2,,2,3.5,25,1
City Center,Flat,2012,170,170000,2428.57,70,1,1,2,,2,1.5,225,1
City Center,Flat,2014,200,200000,3636.36,55,4,1,0,,0,0.7,228,1
City Center,Flat,2012,180,180000,2250.00,80,2,1,0,1,1,2.2,9,1
City Center,Flat,2012,150,150000,2142.86,70,1,1,2,,2,0.5,476,0
City Center,Flat,2012,,0,0.00,57,4,1,2,,2,0.5,265,1
City Center,Flat,2013,420,420000,3818.18,110,6,1,2,,2,3.5,1218,1
City Center,Flat,2013,240,240000,3529.41,68,2,1,0,1,1,0,14,1
City Center,Flat,2013,180,180000,3272.73,55,2,1,2,,2,3.5,375,1
City Center,Flat,2013,220,220000,3235.29,68,2,1,0,1,1,0,12,1
City Center,Flat,2013,180,180000,2647.06,68,1,1,0,1,1,0,10,1
City Center,Flat,,280,280000,3500.00,80,3,1,0,0.5,0.5,3.2,19,1
City Center,Flat,,200,200000,3076.92,65,5,1,0,1,1,3,98,1
City Center,Flat,,130,130000,2549.02,51,1,1,2,,2,0.5,713,1
City Center,Flat,,250,250000,2380.95,105,5,1,0,0.775,0.775,0,3735,0
North Suburbs,Flat,,120,120000,2222.22,54,0,1,2,,2,3.5,178,1
City Center,Flat,,117,117000,1500.00,78,2,1,0,,0,0,78,1
City Center,Flat,,70,70000,1400.00,50,0,1,0,0.5,0.5,0,92,1
City Center,Flat,,45,45000,918.37,49,2,1,0,0.775,0.775,0,390,1
City Center,Flat,,35,35000,700.00,50,0,1,,,0,0,271,1
City Center,Maisonette,2009,220,220000,1833.33,120,5,2,0,0.5,0.5,3.7,2492,1
City Center,Maisonette,2010,280,280000,2666.67,105,3,2,0,1,1,3,12,1
City Center,Maisonette,2012,340,340000,2615.38,130,"5, 4",2,2,,2,3,332,1
City Center,Flat,1965,85,85000,850.00,100,1,2,0,0.5,0.5,1,1911,1
